name,nationality,description,wikipedia_url,image_url,publisher
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Bob Woodward,,"Robert Upshur ""Bob"" Woodward is an American investigative journalist and non-fiction author. He has worked for The Washington Post since 1971 as a reporter and is now an associate editor of the Post.\n",https://en.wikipedia.org/wiki/Bob_Woodward,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Bob_Woodward.jpg/220px-Bob_Woodward.jpg,Simon & Schuster
Siddhartha Mukherjee,"American, Indian","Siddhartha Mukherjee is an Indian-born American physician, scientist, and writer best known for his 2010 book, The Emperor of All Maladies: A Biography of Cancer, which was awarded the 2011 Pulitzer Prize for General Non-Fiction. ",https://en.wikipedia.org/wiki/Siddhartha_Mukherjee,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Dr._Siddhartha_Mukherjee_2011.jpg/220px-Dr._Siddhartha_Mukherjee_2011.jpg,Simon & Schuster
Patrick Rothfuss,American,Patrick James Rothfuss is an American writer of epic fantasy. He is best known for his projected three-volume series The Kingkiller Chronicle.,https://en.wikipedia.org/wiki/Patrick_Rothfuss,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Patrick-rothfuss-2014-kyle-cassidy.jpg/250px-Patrick-rothfuss-2014-kyle-cassidy.jpg,"Victor Gollancz Ltd,Penguin Group"
Patrick Rothfuss,American,Patrick James Rothfuss is an American writer of epic fantasy. He is best known for his projected three-volume series The Kingkiller Chronicle.,https://en.wikipedia.org/wiki/Patrick_Rothfuss,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Patrick-rothfuss-2014-kyle-cassidy.jpg/250px-Patrick-rothfuss-2014-kyle-cassidy.jpg,"Victor Gollancz Ltd,Penguin Group"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Robin Hobb,American,"Robin Hobb is a pseudonym of Margaret Astrid Lindholm Ogden, an American writer. She is best known for the books set in the Realm of the Elderlings, which started in 1995 with the publication of Assassin's Apprentice, the first book in the Farseer trilogy.",https://en.wikipedia.org/wiki/Robin_Hobb,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mons089_Robin_Hobb.jpg/220px-Mons089_Robin_Hobb.jpg,"Bantam Spectra,Harper Collins,Del Rey Books"
Orson Scott Card,American,"Orson Scott Card is an American novelist, critic, public speaker, essayist and columnist. He writes in several genres but is known best for science fiction. ",https://en.wikipedia.org/wiki/Orson_Scott_Card,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg/250px-Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg,"Palgrave Macmillan,Penguin Group"
Orson Scott Card,American,"Orson Scott Card is an American novelist, critic, public speaker, essayist and columnist. He writes in several genres but is known best for science fiction. ",https://en.wikipedia.org/wiki/Orson_Scott_Card,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg/250px-Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg,"Palgrave Macmillan,Penguin Group"
Orson Scott Card,American,"Orson Scott Card is an American novelist, critic, public speaker, essayist and columnist. He writes in several genres but is known best for science fiction. ",https://en.wikipedia.org/wiki/Orson_Scott_Card,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg/250px-Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg,"Palgrave Macmillan,Penguin Group"
Orson Scott Card,American,"Orson Scott Card is an American novelist, critic, public speaker, essayist and columnist. He writes in several genres but is known best for science fiction. ",https://en.wikipedia.org/wiki/Orson_Scott_Card,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg/250px-Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg,"Palgrave Macmillan,Penguin Group"
Isaac Asimov,"Russian (early years), American",Isaac Asimov was an American author and professor of biochemistry at Boston University. He was known for his works of science fiction and popular science. ,https://en.wikipedia.org/wiki/Isaac_Asimov,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Isaac.Asimov01.jpg/220px-Isaac.Asimov01.jpg,Bantam Spectra
Isaac Asimov,"Russian (early years), American",Isaac Asimov was an American author and professor of biochemistry at Boston University. He was known for his works of science fiction and popular science. ,https://en.wikipedia.org/wiki/Isaac_Asimov,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Isaac.Asimov01.jpg/220px-Isaac.Asimov01.jpg,Bantam Spectra
Isaac Asimov,"Russian (early years), American",Isaac Asimov was an American author and professor of biochemistry at Boston University. He was known for his works of science fiction and popular science. ,https://en.wikipedia.org/wiki/Isaac_Asimov,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Isaac.Asimov01.jpg/220px-Isaac.Asimov01.jpg,Bantam Spectra
Isaac Asimov,"Russian (early years), American",Isaac Asimov was an American author and professor of biochemistry at Boston University. He was known for his works of science fiction and popular science. ,https://en.wikipedia.org/wiki/Isaac_Asimov,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Isaac.Asimov01.jpg/220px-Isaac.Asimov01.jpg,Bantam Spectra
Terry Pratchett,,"Sir Terence David John ""Terry"" Pratchett, OBE was an English author of fantasy novels, especially comical works. He is best known for his Discworld series of 41 novels. Pratchett's first novel, The Carpet People, was published in 1971. ",https://en.wikipedia.org/wiki/Terry_Pratchett,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/10.12.12TerryPratchettByLuigiNovi1.jpg/220px-10.12.12TerryPratchettByLuigiNovi1.jpg,Random House
Douglas Adams,,"Douglas Noel Adams was an English author, scriptwriter, essayist, humorist, satirist and dramatist.\nAdams is best known as the author of The Hitchhiker's Guide to the Galaxy, which originated in 1978 as a BBC radio comedy before developing into a ""trilogy"" of five books that sold more than 15 million copies in his lifetime and generated a television series, several stage plays, comics, a computer game, and in 2005 a feature film. ",https://en.wikipedia.org/wiki/Douglas_Adams,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Douglas_adams_portrait_cropped.jpg/220px-Douglas_adams_portrait_cropped.jpg,"Del Rey Books,Pan Books"
Douglas Adams,,"Douglas Noel Adams was an English author, scriptwriter, essayist, humorist, satirist and dramatist.\nAdams is best known as the author of The Hitchhiker's Guide to the Galaxy, which originated in 1978 as a BBC radio comedy before developing into a ""trilogy"" of five books that sold more than 15 million copies in his lifetime and generated a television series, several stage plays, comics, a computer game, and in 2005 a feature film. ",https://en.wikipedia.org/wiki/Douglas_Adams,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Douglas_adams_portrait_cropped.jpg/220px-Douglas_adams_portrait_cropped.jpg,"Del Rey Books,Pan Books"
Douglas Adams,,"Douglas Noel Adams was an English author, scriptwriter, essayist, humorist, satirist and dramatist.\nAdams is best known as the author of The Hitchhiker's Guide to the Galaxy, which originated in 1978 as a BBC radio comedy before developing into a ""trilogy"" of five books that sold more than 15 million copies in his lifetime and generated a television series, several stage plays, comics, a computer game, and in 2005 a feature film. ",https://en.wikipedia.org/wiki/Douglas_Adams,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Douglas_adams_portrait_cropped.jpg/220px-Douglas_adams_portrait_cropped.jpg,"Del Rey Books,Pan Books"
Douglas Adams,,"Douglas Noel Adams was an English author, scriptwriter, essayist, humorist, satirist and dramatist.\nAdams is best known as the author of The Hitchhiker's Guide to the Galaxy, which originated in 1978 as a BBC radio comedy before developing into a ""trilogy"" of five books that sold more than 15 million copies in his lifetime and generated a television series, several stage plays, comics, a computer game, and in 2005 a feature film. ",https://en.wikipedia.org/wiki/Douglas_Adams,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Douglas_adams_portrait_cropped.jpg/220px-Douglas_adams_portrait_cropped.jpg,"Del Rey Books,Pan Books"
Douglas Adams,,"Douglas Noel Adams was an English author, scriptwriter, essayist, humorist, satirist and dramatist.\nAdams is best known as the author of The Hitchhiker's Guide to the Galaxy, which originated in 1978 as a BBC radio comedy before developing into a ""trilogy"" of five books that sold more than 15 million copies in his lifetime and generated a television series, several stage plays, comics, a computer game, and in 2005 a feature film. ",https://en.wikipedia.org/wiki/Douglas_Adams,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Douglas_adams_portrait_cropped.jpg/220px-Douglas_adams_portrait_cropped.jpg,"Del Rey Books,Pan Books"
Eoin Colfer,Irish,Eoin Colfer is an Irish author of children's books. He worked as a primary school teacher before he became a full-time writer. He is best known for being the author of the Artemis Fowl series. ,https://en.wikipedia.org/wiki/Eoin_Colfer,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Eoin_Colfer.jpg/220px-Eoin_Colfer.jpg,William Morrow and Company
Stephen King,,"Stephen Edwin King is an American author of contemporary horror, supernatural fiction, suspense, science fiction, and fantasy. His books have sold more than 350 million copies, many of which have been adapted into feature films, miniseries, television shows, and comic books. ",https://en.wikipedia.org/wiki/Stephen_King,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Stephen_King%2C_Comicon.jpg/220px-Stephen_King%2C_Comicon.jpg,"Simon & Schuster,Penguin Group,Turtleback Books"
Stephen King,,"Stephen Edwin King is an American author of contemporary horror, supernatural fiction, suspense, science fiction, and fantasy. His books have sold more than 350 million copies, many of which have been adapted into feature films, miniseries, television shows, and comic books. ",https://en.wikipedia.org/wiki/Stephen_King,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Stephen_King%2C_Comicon.jpg/220px-Stephen_King%2C_Comicon.jpg,"Simon & Schuster,Penguin Group,Turtleback Books"
Stephen King,,"Stephen Edwin King is an American author of contemporary horror, supernatural fiction, suspense, science fiction, and fantasy. His books have sold more than 350 million copies, many of which have been adapted into feature films, miniseries, television shows, and comic books. ",https://en.wikipedia.org/wiki/Stephen_King,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Stephen_King%2C_Comicon.jpg/220px-Stephen_King%2C_Comicon.jpg,"Simon & Schuster,Penguin Group,Turtleback Books"
Stephen King,,"Stephen Edwin King is an American author of contemporary horror, supernatural fiction, suspense, science fiction, and fantasy. His books have sold more than 350 million copies, many of which have been adapted into feature films, miniseries, television shows, and comic books. ",https://en.wikipedia.org/wiki/Stephen_King,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Stephen_King%2C_Comicon.jpg/220px-Stephen_King%2C_Comicon.jpg,"Simon & Schuster,Penguin Group,Turtleback Books"
